"","year","firm","id","xi1","xi3","xi1_lag","xi3_lag","up1","down1","stay1","pat_app","lpat_app"
"194","1993","NISSAN",9,-0.0783896007620681,-0.083598127052448,0.199001050312164,0.137122265976588,0,1,0,124,4.8283137373023
"195","1994","NISSAN",9,0.0397965750968558,0.0120383742955196,-0.0783896007620681,-0.083598127052448,1,0,0,133,4.89783979995091
"196","1995","NISSAN",9,0.122545622570315,0.0917310352981851,0.0397965750968558,0.0120383742955196,0,0,1,172,5.15329159449778
"197","1996","NISSAN",9,-0.0264582438251832,-0.0209554143340079,0.122545622570315,0.0917310352981851,0,1,0,204,5.32300997913841
"198","1997","NISSAN",9,-0.103483450777596,-0.0815447226963341,-0.0264582438251832,-0.0209554143340079,0,0,1,231,5.44673737166631
"199","1998","NISSAN",9,-0.118520195847685,-0.0847547218748509,-0.103483450777596,-0.0815447226963341,0,0,1,363.440002441406,5.89836193554472
"200","1999","NISSAN",9,-0.403340765199802,-0.315955633233651,-0.118520195847685,-0.0847547218748509,0,1,0,253,5.53733426701854
"201","2000","NISSAN",9,-0.551752798395284,-0.402361635774227,-0.403340765199802,-0.315955633233651,0,1,0,500.320007324219,6.21724463435319
"202","2001","NISSAN",9,-0.494563870262805,-0.336629484451439,-0.551752798395284,-0.402361635774227,0,0,1,623.039978027344,6.43621443366871
"203","2002","NISSAN",9,-0.558909629053873,-0.427975522573715,-0.494563870262805,-0.336629484451439,0,0,1,677.320007324219,6.51961916379333
"204","2003","NISSAN",9,-0.452187923937536,-0.341143899530589,-0.558909629053873,-0.427975522573715,1,0,0,708,6.56385552653213
"205","2004","NISSAN",9,-0.264776465732495,-0.183931144423845,-0.452187923937536,-0.341143899530589,1,0,0,903.880004882812,6.80780234361921
"206","2005","NISSAN",9,-0.115764748455506,-0.0667049206160951,-0.264776465732495,-0.183931144423845,1,0,0,594.719970703125,6.38977070883873
"207","2006","NISSAN",9,-0.222464455093969,-0.171856644466472,-0.115764748455506,-0.0667049206160951,0,1,0,0,0
"208","1983","PSA",11,0.723204040503476,0.496170797905529,0.816394160049619,0.561418416240505,0,0,1,99.120002746582,4.60636949399647
